Next token is: -1, Next lexeme is EOF
Next token is: 26, Next lexeme is )
Next token is: 11, Next lexeme is C
Next token is: 24, Next lexeme is /
Next token is: 11, Next lexeme is D
Next token is: 25, Next lexeme is (
Next token is: 23, Next lexeme is *
Next token is: 10, Next lexeme is 5
Next token is: 22, Next lexeme is -
Next token is: 11, Next lexeme is age
Next token is: 27, Next lexeme is =
Next token is: 11, Next lexeme is C
Next token is: 10, Next lexeme is 2
Next token is: 23, Next lexeme is *
Next token is: 26, Next lexeme is )
Next token is: 11, Next lexeme is width
Next token is: 21, Next lexeme is +
Next token is: 11, Next lexeme is length
Next token is: 25, Next lexeme is (
Next token is: 27, Next lexeme is =
Next token is: 11, Next lexeme is Area
Next token is: 11, Next lexeme is total
Next token is: 24, Next lexeme is /
Next token is: 26, Next lexeme is )
Next token is: 11, Next lexeme is sum
Next token is: 21, Next lexeme is +
Next token is: 10, Next lexeme is 47
Next token is: 25, Next lexeme is (
